year,month,url
2017,1,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2017-01.csv
2016,12,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2016-12.csv
2016,11,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2016-11.csv
2016,10,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2016-10.csv
2016,9,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2016-09.csv
2016,8,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2016-08.csv
2016,7,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2016-07.csv
2016,6,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2016-06.csv
2016,5,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2016-05.csv
2016,4,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2016-04.csv
2016,3,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2016-03.csv
2016,2,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2016-02.csv
2016,1,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2016-01.csv
2015,12,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2015-12.csv
2015,11,https://datos.cdmx.gob.mx/wp-content/uploads/2022/09/2015-11.csv
2015,10,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2015-10.csv
2015,9,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2015-09.csv
2015,8,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2015-08.csv
2015,7,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2015-07.csv
2015,6,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2015-06.csv
2015,5,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2015-05.csv
2015,4,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2015-04.csv
2015,3,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2015-03.csv
2015,2,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2015-02.csv
2015,1,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2015-01.csv
2014,12,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2014-12.csv
2014,11,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2014-11.csv
2014,10,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2014-10.csv
2014,9,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2014-09.csv
2014,8,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2014-08.csv
2014,7,https://datos.cdmx.gob.mx/wp-content/uploads/2022/09/2014-07.csv
2014,6,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2014-06.csv
2014,5,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2014-05.csv
2014,4,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2014-04.csv
2014,3,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2014-03.csv
2014,2,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2014-02.csv
2014,1,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2014-01.csv
2013,12,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2013-12.csv
2013,11,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2013-11.csv
2013,10,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2013-10.csv
2013,9,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2013-09.csv
2013,8,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2013-08.csv
2013,7,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2013-07.csv
2013,6,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2013-06.csv
2013,5,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2013-05.csv
2013,4,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2013-04.csv
2013,3,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2013-03.csv
2013,2,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2013-02.csv
2013,1,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2013-01.csv
2012,12,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2012-12.csv
2012,11,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2012-11.csv
2012,10,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2012-10.csv
2012,9,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2012-09.csv
2012,8,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2012-08.csv
2012,7,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2012-07.csv
2012,6,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2012-06.csv
2012,5,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2012-05.csv
2012,4,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2012-04.csv
2012,3,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2012-03.csv
2012,2,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2012-02.csv
2012,1,https://datos.cdmx.gob.mx/wp-content/uploads/2022/08/2012-01.csv
2011,12,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2011-12.csv
2011,11,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2011-11.csv
2011,10,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2011-10.csv
2011,9,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2011-09.csv
2011,8,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2011-08.csv
2011,7,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2011-07.csv
2011,6,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2011-06.csv
2011,5,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2011-05.csv
2011,4,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2011-04.csv
2011,3,https://datos.cdmx.gob.mx/wp-content/uploads/2022/09/2011-03.csv
2011,2,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2011-02.csv
2011,1,https://datos.cdmx.gob.mx/wp-content/uploads/2022/07/2011-01-ene.csv
2010,12,https://datos.cdmx.gob.mx/wp-content/uploads/2022/06/2010-12-dic.csv
2010,11,https://datos.cdmx.gob.mx/wp-content/uploads/2022/06/2010-11-nov.csv
2010,10,https://datos.cdmx.gob.mx/wp-content/uploads/2022/06/2010-10-oct.csv
2010,9,https://datos.cdmx.gob.mx/wp-content/uploads/2022/06/2010-09-sep.csv
2010,8,https://datos.cdmx.gob.mx/wp-content/uploads/2022/06/2010-08-ago.csv
2010,7,https://datos.cdmx.gob.mx/wp-content/uploads/2022/06/2010-07-jul.csv
2010,6,https://datos.cdmx.gob.mx/wp-content/uploads/2022/06/2010-06-jun.csv
2010,5,https://datos.cdmx.gob.mx/wp-content/uploads/2022/06/2010-05-may.csv
2010,4,https://datos.cdmx.gob.mx/wp-content/uploads/2022/06/2010-04-abr.csv
2010,3,https://datos.cdmx.gob.mx/wp-content/uploads/2022/06/2010-03-mar.csv
2010,2,https://datos.cdmx.gob.mx/wp-content/uploads/2022/06/2010-02-feb.csv
